Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
89,Cameron Shelton,SR,2022-23,G,Loyola Marymount,WCC,21,741,35.3,7.0,14.7,5.6,10.6,1.4,4.1,3.4,5.0,1.1,4.9,6.0,4.5,2.0,0.1,2.4,2.5,18.9
90,Cam Spencer,JR,2021-22,G,Loyola (MD),Patriot,30,1108,36.9,6.9,14.8,5.0,9.2,2.0,5.6,3.0,3.5,0.5,4.3,4.8,3.2,2.3,0.2,1.3,1.5,18.9
91,Andrew Taylor,SR,2022-23,G,Marshall,Sun Belt,20,709,35.5,7.7,18.7,5.1,11.3,2.6,7.4,1.1,1.5,1.4,3.8,5.1,4.6,2.2,0.0,2.8,1.7,18.9
92,Ochai Agbaji,SR,2021-22,G,Kansas,Big 12,39,1367,35.1,6.6,13.9,4.0,7.4,2.6,6.5,2.9,3.9,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.7,18.8
93,Bowen Born,SO,2022-23,G,Northern Iowa,MVC,19,645,33.9,5.8,13.1,3.3,6.8,2.5,6.2,4.6,5.5,0.2,2.2,2.3,2.8,0.9,0.0,2.1,1.3,18.8
94,Hayden Brown,SR,2021-22,F,The Citadel,Southern,30,964,32.1,6.9,13.4,5.8,9.5,1.1,3.9,3.9,6.2,2.2,7.3,9.5,2.3,1.1,0.2,2.3,2.5,18.8
95,Trey Calvin,SR,2022-23,G,Wright State,Horizon,19,620,32.6,7.5,15.5,6.2,11.3,1.4,4.2,2.4,2.7,0.4,2.5,2.9,4.4,1.3,0.2,2.8,2.2,18.8
96,Jalen Cone,SO,2021-22,G,Northern Arizona,Big Sky,32,1109,34.7,6.2,15.9,3.3,7.7,2.9,8.3,3.6,4.3,0.6,2.4,3.0,3.6,0.7,0.0,3.7,2.3,18.8
97,Patrick Gardner,SR,2022-23,C,Marist,MAAC,16,484,30.3,7.4,14.3,5.9,9.6,1.6,4.7,2.3,3.3,1.2,5.3,6.5,2.1,0.7,0.9,1.9,1.7,18.8
98,AJ Green,SR,2021-22,G,Northern Iowa,MVC,31,1129,36.4,5.6,13.8,2.6,6.0,3.0,7.7,4.5,4.9,0.2,3.5,3.7,2.5,0.8,0.0,2.2,1.6,18.8
