Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,PF,Philip Alston,RS SO,6-6,225,California (PA),Loyola Chicago,2022-23,Loyola (IL),A-10,31,857,20.7,0.5529999999999999,0.511,8.8,17.0,13.0,8.3,1.5,4.6,13.3,29.5,423,106.1,106.5,1.7,0.9,2.6,1.6,-1.0,0.6,27.6,5.0,10.6,4.1,8.4,0.9,2.3,3.8,5.5,1.8,3.8,5.6,1.0,0.7,1.1,2.0,2.9,14.6
2.0,SG,Sedrick Altman,JR,6-3,185,Rider,Cal State San Bernardino,2021-22,Rider,MAAC,31,415,4.6,0.321,0.28300000000000003,3.9,14.8,9.3,6.8,2.5,1.2,17.6,12.4,62,71.6,100.4,-0.5,0.6,0.2,-6.0,0.6,-5.4,13.4,0.6,2.5,0.5,1.9,0.1,0.5,0.4,0.5,0.5,1.8,2.3,0.5,0.6,0.1,0.6,1.3,1.7
4.0,PF,Keon Ambrose-Hylton,RS FR,6-8,215,Alabama,SMU,2022-23,Southern Methodist,AAC,32,458,14.8,0.652,0.6709999999999999,7.1,15.1,11.0,3.8,0.9,5.2,9.8,9.9,103,129.6,107.2,0.8,0.4,1.3,0.0,0.9,0.8,14.3,1.4,2.2,1.4,2.0,0.1,0.2,0.4,0.8,0.9,1.9,2.8,0.3,0.2,0.7,0.3,1.3,3.4
2.0,SG,Kellen Amos,RS FR,6-7,190,Binghamton,Central Connecticut State,2022-23,Central Connecticut State,NEC,32,1001,16.3,0.545,0.534,2.2,11.0,6.4,9.6,1.6,1.9,12.3,24.8,389,103.2,108.9,1.3,0.8,2.1,0.7,-2.5,-1.8,31.3,5.4,12.0,3.4,6.4,2.0,5.6,1.3,2.0,0.6,2.8,3.4,1.3,0.8,0.5,1.8,1.5,14.1
2.0,SG,Kellen Amos,RS FR,6-7,190,Binghamton,Central Connecticut State,2021-22,Binghamton,AEC,23,318,17.1,0.524,0.512,1.8,17.4,9.7,15.5,1.7,4.2,18.0,29.1,141,94.8,99.8,0.2,0.5,0.7,-0.6,-0.7,-1.3,13.8,2.4,5.6,1.4,2.7,1.0,2.9,0.9,1.6,0.2,2.2,2.4,1.0,0.4,0.5,1.4,0.9,6.7
2.0,SF,Alex Anderson,RS FR,6-6,185,South Alabama,Alabama State,2022-23,Alabama State,SWAC,27,788,11.8,0.484,0.41600000000000004,3.3,13.9,8.4,24.9,2.1,1.0,23.7,22.8,282,90.3,106.5,-0.1,0.8,0.7,-4.1,-1.7,-5.8,29.2,3.2,8.1,2.9,7.1,0.3,1.0,3.2,4.5,0.9,3.6,4.5,3.2,1.1,0.3,3.2,2.6,9.9
2.0,SF,Alex Anderson,RS FR,6-6,185,South Alabama,Alabama State,2021-22,South Alabama,Sun Belt,33,818,11.6,0.513,0.506,6.8,8.9,7.8,8.5,1.3,1.4,15.0,14.8,218,105.0,100.0,0.9,1.2,2.1,-1.4,-0.2,-1.6,24.8,2.5,5.0,2.5,5.0,0.0,0.1,1.1,2.1,1.4,1.9,3.3,1.2,0.5,0.3,1.1,1.9,6.2
2.0,SG,Boogie Anderson,SR,6-4,200,South Dakota,Southeastern Louisiana,2022-23,Southeastern Louisiana,Southland,31,1050,15.3,0.515,0.493,3.6,9.6,6.5,25.7,2.1,0.3,19.0,25.1,469,99.9,109.1,1.1,0.8,1.9,-1.6,-2.1,-3.7,33.9,6.0,12.2,6.0,12.1,0.0,0.1,2.2,3.4,1.1,2.7,3.8,4.4,1.3,0.1,3.3,2.4,14.3
2.0,SG,Boogie Anderson,SR,6-4,200,South Dakota,Southeastern Louisiana,2021-22,South Dakota,Summit,31,691,11.5,0.521,0.514,2.3,7.7,5.0,12.8,1.5,0.2,15.6,18.1,209,101.0,108.5,0.7,0.5,1.1,-3.8,-1.8,-5.6,22.3,2.9,5.7,2.9,5.7,0.0,0.0,0.9,1.6,0.4,1.4,1.8,1.5,0.6,0.0,1.2,1.8,6.7
4.0,SF,Damezi Anderson,RS JR,6-7,230,Loyola Chicago,Detroit Mercy,2022-23,Detroit Mercy,Horizon,33,903,14.9,0.563,0.551,6.0,13.1,9.4,6.8,1.4,1.5,10.7,17.0,290,119.5,113.0,2.0,0.4,2.3,0.6,-1.6,-1.0,27.4,3.4,8.0,1.4,2.2,2.0,5.8,0.6,0.7,1.5,3.0,4.5,1.0,0.7,0.4,1.0,2.5,9.4
